Hashtag,Title,Publication Date,Link,processed_timestamp,production_url,data_source
#bangladeshhindus,Sadhvi Ritambhara appeals to Hindu community to remain united amid atrocities in Bangladesh,2024-12-23,https://www.youtube.com/watch?v=eBUmKaLCD3w,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Violence in Bangladesh: Hindus attacked, temples vandalised |  Death toll touches 5 | WION news",2022-06-22,https://www.youtube.com/watch?v=oJyaqRBQoCk,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Hindus in Bangladesh attacked. As the Prime Minister is deposed. #history #bangladesh #india,2024-08-25,https://www.youtube.com/watch?v=yal2cRqU7Yw,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Bangladesh Hindus: 30,000 On Streets | Violence, Harassment & Now False Cases | NewsX",2024-11-23,https://www.youtube.com/watch?v=Ew8L3clNkvI,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Hindus Under Threat In Bangladesh; Boy Beaten To Death, MD Yunus Says Attacks 'Political' | Top News",2024-09-24,https://www.youtube.com/watch?v=-4_6XlXsSJU,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Watch: Massive protests by Hindus in Bangladesh over recent attacks | Bangladesh Hindus | Dhaka,2024-08-25,https://www.youtube.com/watch?v=G4SHmzfnNkI,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Bangladesh News | Attack On Hindus In Bangladesh? Mass Murders, Killings By Mob | Sheikh Hasina News",2024-08-25,https://www.youtube.com/watch?v=zQxcgBampvE,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh News | Can Muhammad Yunus Safeguard Bangladesh's Hindus?,2024-09-24,https://www.youtube.com/watch?v=EmeyZ2jdrpc,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh's Hindus Under Attack | Why No 'Lives Matter' For Hindus? | NewsX,2024-08-25,https://www.youtube.com/watch?v=bF9zh2ReLAo,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh Hindus Under Attack? Why Muhammad Yunus Called Minority Youth For Talks Amid Tensions,2024-08-25,https://www.youtube.com/watch?v=tGAn2ESP_7o,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladeshi Hindus | Can Muhammad Yunus Safeguard Bangladesh's Hindus?,2024-08-25,https://www.youtube.com/watch?v=JiBq7XwkD0w,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
